iteration,timestamp,T5,T7,PU8F,PU10F,PU11F,J302,J306,J307,J317,PU8,PU10,PU11,ScadaCommand_PU8,T5S,ScadaCommand_PU10,T7S,ScadaCommand_PU11
30,2025-02-20 22:27:17.045524,2.5968399047851562,2.685760021209717,34.5825424151568,30.4470472448895,0.0,21.3746174160604,84.0622960597455,21.2651544246274,69.8138867544564,1,1,0,1.0,2.5968399047851562,1.0,2.685760021209717,0.0
31,2025-02-20 22:28:05.653781,2.6530537605285645,2.746674060821533,34.5634767322678,30.4349529137725,0.0,21.3757894588994,84.0958327447735,21.2664069891431,69.8548004684783,1,1,0,1.0,2.6530537605285645,1.0,2.746674060821533,0.0
32,2025-02-20 22:29:43.381579,2.7318475246429443,2.831895112991333,34.5253977408103,30.4108192976291,0.0,21.3782286117274,84.1628509743877,21.269006718261,69.9364756175066,1,1,0,1.0,2.7318475246429443,1.0,2.831895112991333,0.0
33,2025-02-20 22:30:34.743847,2.7654645442962646,2.8850369453430176,34.6107381036205,29.2352739527632,0.0,21.651986437271,84.2872060241852,21.5504557810375,73.9640334276157,1,1,0,1.0,2.7654645442962646,1.0,2.8850369453430176,0.0
34,2025-02-20 22:31:23.135392,2.8217756748199463,2.972160816192627,34.5994841768169,29.2271544897292,0.0,21.6530498508622,84.3073936222469,21.5515703847516,73.9894738106821,1,1,0,1.0,2.8217756748199463,1.0,2.972160816192627,0.0
35,2025-02-20 22:32:11.687036,2.878037214279175,3.0591394901275635,34.5810938407605,29.2078078030592,0.0,21.6562072208455,84.3417667442807,21.5548521543259,74.0526583523253,1,1,0,1.0,2.878037214279175,1.0,3.0591394901275635,0.0
36,2025-02-20 22:33:00.934470,2.934248924255371,3.1459739208221436,34.562713760158,29.1885075137823,0.0,21.6593844819954,84.3761174695439,21.5581534162012,74.1156399449699,1,1,0,1.0,2.934248924255371,1.0,3.1459739208221436,0.0
37,2025-02-20 22:33:53.037189,3.000490665435791,3.2644598484039307,34.1923048183909,28.4598740387124,0.0,22.0957138247362,85.4353996210337,21.9991129862108,76.7691254614336,1,1,0,1.0,3.000490665435791,1.0,3.2644598484039307,0.0
38,2025-02-20 22:34:43.886816,3.0666768550872803,3.3814966678619385,34.1717164915321,28.4377267195105,0.0,22.1022455919491,85.4764089709422,22.0057839768739,76.8418525815567,1,1,0,1.0,3.0666768550872803,1.0,3.3814966678619385,0.0
39,2025-02-20 22:35:33.831585,3.132807970046997,3.4983441829681396,34.1513740127853,28.4124612402528,0.0,22.1095037609722,85.5176855301794,22.013200818552,76.9245068903626,1,1,0,1.0,3.132807970046997,1.0,3.4983441829681396,0.0
40,2025-02-20 22:36:24.976269,3.1988842487335205,3.6150026321411133,34.1310470432446,28.3872300369296,0.0,22.1167885777242,85.5589398948123,22.0206439599407,77.0069803659796,1,1,0,1.0,3.1988842487335205,1.0,3.6150026321411133,0.0
41,2025-02-20 22:37:13.836921,3.2649054527282715,3.7314720153808594,34.1107367063427,28.3620194419871,0.0,22.1241037358477,85.6001736108072,22.0281171927983,77.0893288820118,1,1,0,1.0,3.2649054527282715,1.0,3.7314720153808594,0.0
42,2025-02-20 22:38:02.480735,3.330872058868408,3.847752809524536,34.0904429071171,28.3368294475803,0.0,22.1314489113441,85.641386573697,22.0356201929375,77.1715523506294,1,1,0,1.0,3.330872058868408,1.0,3.847752809524536,0.0
43,2025-02-20 22:38:52.781065,3.3967838287353516,3.9638450145721436,34.0701657144484,28.311660261017,0.0,22.1388242589517,85.6825788801684,22.0431531178039,77.2536505783244,1,1,0,1.0,3.3967838287353516,1.0,3.9638450145721436,0.0
44,2025-02-20 22:39:42.517581,3.4626407623291016,4.079748630523682,34.0499050100562,28.2865117670985,0.0,22.1462293882922,85.7237503981702,22.0507155742721,77.3356237794039,1,1,0,1.0,3.4626407623291016,1.0,4.079748630523682,0.0
45,2025-02-20 22:40:33.426344,3.52850341796875,4.196717739105225,34.0519735297447,28.2731005224772,0.0,22.2181318175847,85.7921385182687,22.122701795798,77.4472073341688,1,1,0,1.0,3.52850341796875,1.0,4.196717739105225,0.0
46,2025-02-20 22:41:24.257648,3.594313859939575,4.312359809875488,34.03270671029,28.2515954698691,0.0,22.2283631683175,85.8344796896794,22.1330675774927,77.5211211326257,1,1,0,1.0,3.594313859939575,1.0,4.312359809875488,0.0
47,2025-02-20 22:42:12.362649,3.6600728034973145,4.42781925201416,34.0136712436326,28.227281036676,0.0,22.2392709664906,85.8770698686867,22.144127227083,77.6039195881494,1,1,0,1.0,3.6600728034973145,1.0,4.42781925201416,0.0
48,2025-02-20 22:42:59.179697,3.725780725479126,4.543097019195557,33.9946722858109,28.2030130188506,0.0,22.2502647714563,85.9196652159514,22.1552724662785,77.6865702763158,1,1,0,1.0,3.725780725479126,1.0,4.543097019195557,0.0
49,2025-02-20 22:43:47.507327,3.788541316986084,4.659177303314209,34.1465082943541,28.1861389792502,0.0,22.3040466933186,85.7195717019063,22.2091595645627,77.7900822972787,1,1,0,1.0,3.788541316986084,1.0,4.659177303314209,0.0
50,2025-02-20 22:44:36.591679,3.851255178451538,4.774167537689209,34.1291066795448,28.1646436835817,0.0,22.3166652108089,85.7612770915948,22.2219120965827,77.8660788353981,1,1,0,1.0,3.851255178451538,1.0,4.774167537689209,0.0
51,2025-02-20 22:45:23.912827,3.9139223098754883,4.888979911804199,34.1119158892152,28.1409263432162,0.0,22.329893777187,85.8032060949065,22.2352883943497,77.9491279729028,1,1,0,1.0,3.9139223098754883,0.0,4.888979911804199,0.0
52,2025-02-20 22:46:13.338225,3.9813289642333984,4.815237522125244,35.8660003957392,0.0,0.0,27.6411655745453,88.0379098316316,27.6411655745485,61.5513120311371,1,0,0,1.0,3.9813289642333984,0.0,4.815237522125244,0.0
53,2025-02-20 22:47:03.025683,4.048897743225098,4.7417778968811035,35.9260351146725,0.0,0.0,27.8912940366858,88.1814857900564,27.891294036689,61.4920477110475,1,0,0,0.0,4.048897743225098,0.0,4.7417778968811035,0.0
54,2025-02-20 22:47:51.547989,4.019399166107178,4.668629169464111,0.0,0.0,0.0,31.674447883497,65.1486181216764,31.6744478834995,61.4336207829587,0,0,0,0.0,4.019399166107178,0.0,4.668629169464111,0.0
55,2025-02-20 22:48:44.964608,3.989900827407837,4.5945844650268555,0.0,0.0,0.0,31.7057124441873,65.1191200536283,31.7057124441899,61.3676662283317,0,0,0,0.0,3.989900827407837,0.0,4.5945844650268555,0.0
56,2025-02-20 22:49:34.625129,3.960402727127075,4.520826816558838,0.0,0.0,0.0,31.7369725247034,65.089621882267,31.736972524706,61.3080665615062,0,0,0,0.0,3.960402727127075,0.0,4.520826816558838,0.0
57,2025-02-20 22:50:23.822813,3.9309043884277344,4.447351455688477,0.0,0.0,0.0,31.7682557017263,65.0601237534901,31.7682557017288,61.2484778055869,0,0,0,0.0,3.9309043884277344,0.0,4.447351455688477,0.0
58,2025-02-20 22:51:11.504512,3.9014060497283936,4.3741536140441895,0.0,0.0,0.0,31.7995635458107,65.0306256209772,31.7995635458131,61.1888557200215,0,0,0,0.0,3.9014060497283936,0.0,4.3741536140441895,0.0
59,2025-02-20 22:52:03.144056,3.8719077110290527,4.301229953765869,0.0,0.0,0.0,31.8308937117801,65.0011274045446,31.8308937117826,61.1292055949716,0,0,0,0.0,3.8719077110290527,0.0,4.301229953765869,0.0
60,2025-02-20 22:52:52.961331,3.842409372329712,4.228575706481934,0.0,0.0,0.0,31.862247193786,64.9716292369849,31.8622471937884,61.0695356741055,0,0,0,0.0,3.842409372329712,0.0,4.228575706481934,0.0
61,2025-02-20 22:53:43.541728,3.8121917247772217,4.154900550842285,0.0,0.0,0.0,31.8232434936693,64.9101740784586,31.8232434936717,60.9402936807655,0,0,0,0.0,3.8121917247772217,0.0,4.154900550842285,0.0
62,2025-02-20 22:54:35.827495,3.7819740772247314,4.080449104309082,0.0,0.0,0.0,31.8539602604301,64.8799566228874,31.8539602604324,60.8728527463687,0,0,0,0.0,3.7819740772247314,0.0,4.080449104309082,0.0
63,2025-02-20 22:55:25.843413,3.751756191253662,4.006259441375732,0.0,0.0,0.0,31.8847068048291,64.8497390888954,31.8847068048315,60.8113403568706,0,0,0,0.0,3.751756191253662,0.0,4.006259441375732,0.0
64,2025-02-20 22:56:16.183508,3.721538543701172,3.93232798576355,0.0,0.0,0.0,31.9154768845867,64.8195215480084,31.9154768845891,60.7498647701743,0,0,0,0.0,3.721538543701172,0.0,3.93232798576355,0.0
65,2025-02-20 22:57:04.579797,3.6913208961486816,3.8586511611938477,0.0,0.0,0.0,31.9462701419796,64.7893040013496,31.946270141982,60.6883915696673,0,0,0,0.0,3.6913208961486816,0.0,3.8586511611938477,0.0
66,2025-02-20 22:57:54.400714,3.6611032485961914,3.7852258682250977,0.0,0.0,0.0,31.9770862511179,64.7590864489429,31.9770862511203,60.6269259756761,0,0,0,0.0,3.6611032485961914,0.0,3.7852258682250977,0.0
67,2025-02-20 22:58:43.693371,3.630885601043701,3.712048292160034,0.0,0.0,0.0,32.0079261471452,64.7288689045558,32.0079261471475,60.5654716153739,0,0,0,0.0,3.630885601043701,0.0,3.712048292160034,0.0
68,2025-02-20 22:59:32.124375,3.600667953491211,3.639115571975708,0.0,0.0,0.0,32.0387885155413,64.6986513704723,32.0387885155437,60.5040325709808,0,0,0,0.0,3.600667953491211,0.0,3.639115571975708,0.0
69,2025-02-20 23:00:22.001483,3.5704503059387207,3.566424608230591,0.0,0.0,0.0,32.0696734031459,64.6684338698244,32.0696734031483,60.4426119623924,0,0,0,0.0,3.5704503059387207,0.0,3.566424608230591,0.0
70,2025-02-20 23:01:10.932422,3.5402324199676514,3.4939723014831543,0.0,0.0,0.0,32.1005807832787,64.638216379717,32.100580783281,60.3812136667313,0,0,0,0.0,3.5402324199676514,0.0,3.4939723014831543,0.0
71,2025-02-20 23:02:03.061814,3.510014772415161,3.4231491088867188,0.0,0.0,0.0,31.6554714064361,64.6079987014331,31.6554714064385,60.3289377342881,0,0,0,0.0,3.510014772415161,0.0,3.4231491088867188,0.0
72,2025-02-20 23:02:51.251752,3.479797124862671,3.351158857345581,0.0,0.0,0.0,31.6786647387017,64.5777811341731,31.6786647387041,60.2596724576451,0,0,0,0.0,3.479797124862671,0.0,3.351158857345581,0.0
73,2025-02-20 23:03:38.802772,3.4462223052978516,3.2567012310028076,0.0,0.0,0.0,31.5779489467143,64.3898086991818,31.5779489467165,59.3278062184162,0,0,0,0.0,3.4462223052978516,0.0,3.2567012310028076,0.0
74,2025-02-20 23:04:27.725344,3.4126474857330322,3.161041498184204,0.0,0.0,0.0,31.5996557881111,64.3562340081201,31.5996557881134,59.2371377558661,0,0,0,0.0,3.4126474857330322,0.0,3.161041498184204,0.0
75,2025-02-20 23:05:16.490645,3.379072427749634,3.065643548965454,0.0,0.0,0.0,31.6213661978878,64.3226592174837,31.62136619789,59.1573599701732,0,0,0,0.0,3.379072427749634,0.0,3.065643548965454,0.0
76,2025-02-20 23:06:05.786462,3.3454976081848145,2.970505475997925,0.0,0.0,0.0,31.6430828860554,64.289084565186,31.6430828860576,59.0776619059793,0,0,0,0.0,3.3454976081848145,0.0,2.970505475997925,0.0
77,2025-02-20 23:06:52.009957,3.311922788619995,2.875624179840088,0.0,0.0,0.0,31.6648055744029,64.2555099144344,31.6648055744051,58.9979762970619,0,0,0,0.0,3.311922788619995,0.0,2.875624179840088,0.0
78,2025-02-20 23:07:41.191788,3.278347969055176,2.7809970378875732,0.0,0.0,0.0,31.6865342825571,64.2219351610214,31.6865342825592,58.9183072233822,0,0,0,0.0,3.278347969055176,0.0,2.7809970378875732,0.0
79,2025-02-20 23:08:29.478134,3.2447731494903564,2.6866214275360107,0.0,0.0,0.0,31.7082692602451,64.1883605877888,31.7082692602472,58.8386570503068,0,0,0,0.0,3.2447731494903564,0.0,2.6866214275360107,0.0
80,2025-02-20 23:09:18.178966,3.211198091506958,2.5924949645996094,0.0,0.0,0.0,31.7300099684264,64.1547858665219,31.7300099684285,58.7590290095744,0,0,0,0.0,3.211198091506958,0.0,2.5924949645996094,0.0
81,2025-02-20 23:10:05.667966,3.1776232719421387,2.49861478805542,0.0,0.0,0.0,31.7517565318079,64.121211176246,31.7517565318101,58.6794251412916,0,0,0,0.0,3.1776232719421387,0.0,2.49861478805542,0.0
82,2025-02-20 23:10:53.546663,3.1440484523773193,2.4049787521362305,0.0,0.0,0.0,31.7735085201396,64.0876364736093,31.7735085201416,58.5998482045299,0,0,0,0.0,3.1440484523773193,0.0,2.4049787521362305,0.0
83,2025-02-20 23:11:42.466718,3.1104736328125,2.31158447265625,0.0,0.0,0.0,31.7952665249615,64.0540617451925,31.7952665249635,58.5203009269462,0,0,0,0.0,3.1104736328125,0.0,2.31158447265625,0.0
84,2025-02-20 23:12:31.387380,3.0768988132476807,2.2184293270111084,0.0,0.0,0.0,31.8170297285876,64.0204872252219,31.8170297285896,58.4407856739232,0,0,0,0.0,3.0768988132476807,0.0,2.2184293270111084,0.0
85,2025-02-20 23:13:19.116712,3.0308542251586914,2.1253390312194824,0.0,0.0,0.0,31.6429046968046,63.2795180831878,31.6429046968066,58.3034913514982,0,0,0,0.0,3.0308542251586914,0.0,2.1253390312194824,0.0
86,2025-02-20 23:14:09.139158,2.984809637069702,2.030866861343384,0.0,0.0,0.0,31.6622518823528,63.2334739896583,31.6622518823548,58.2104266367406,0,0,0,0.0,2.984809637069702,0.0,2.030866861343384,0.0
87,2025-02-20 23:14:57.507490,2.938765287399292,1.9366296529769897,0.0,0.0,0.0,31.6816132014281,63.1874299016529,31.6816132014301,58.1295700557172,0,0,0,0.0,2.938765287399292,0.0,1.9366296529769897,0.0
88,2025-02-20 23:15:45.253406,2.8927206993103027,1.842625617980957,0.0,0.0,0.0,31.7009827144131,63.1413855851857,31.7009827144151,58.0488331154612,0,0,0,0.0,2.8927206993103027,0.0,1.842625617980957,0.0
89,2025-02-20 23:16:33.262561,2.8466761112213135,1.7488523721694946,0.0,0.0,0.0,31.7203616707458,63.0953414354738,31.7203616707479,57.9681358762768,0,0,0,0.0,2.8466761112213135,0.0,1.7488523721694946,0.0
90,2025-02-20 23:17:21.219964,2.8006317615509033,2.0553078651428223,0.0,0.0,0.0,31.7397490483914,63.0492973265079,31.7397490483934,57.8874806234739,0,0,0,0.0,2.8006317615509033,0.0,1.6553077697753906,0.0
91,2025-02-20 23:18:09.547876,2.754587173461914,2.161989688873291,0.0,0.0,0.0,31.7591450005459,63.0032531391503,31.7591450005479,57.8068690152314,0,0,0,0.0,2.754587173461914,0.0,1.5619897842407227,0.0
92,2025-02-20 23:18:58.926970,2.708542823791504,2.2688963413238525,0.0,0.0,0.0,31.7785493283418,62.9572088814562,31.7785493283437,57.7263027495806,0,0,0,0.0,2.708542823791504,1.0,1.4688962697982788,0.0
93,2025-02-20 23:19:48.160888,2.6624982357025146,2.3760251998901367,0.0,0.0,0.0,31.7979623825557,62.9111647623176,31.7979623825577,57.6457824836395,0,0,0,0.0,2.6624982357025146,1.0,1.3760253190994263,0.0
94,2025-02-20 23:20:38.773316,2.6164538860321045,2.483374834060669,0.0,0.0,0.0,31.8173831912335,62.8651206224827,31.8173831912354,57.5653106874823,0,0,0,0.0,2.6164538860321045,1.0,1.2833747863769531,0.0
95,2025-02-20 23:21:25.502299,2.5704092979431152,2.590942859649658,0.0,0.0,0.0,31.8368127253309,62.8190765417911,31.8368127253328,57.4848884594014,0,0,0,0.0,2.5704092979431152,1.0,1.1909427642822266,0.0
96,2025-02-20 23:22:15.459764,2.524364948272705,2.6987273693084717,0.0,0.0,0.0,31.8562497103263,62.7730323414995,31.8562497103282,57.4045170878915,0,0,0,0.0,2.524364948272705,1.0,1.0987273454666138,0.0
97,2025-02-20 23:23:03.263942,2.470646619796753,2.773312568664551,0.0,0.0,0.0,31.7091357538151,62.1992361828361,31.7091357538168,55.714916522316,0,0,0,0.0,2.470646619796753,1.0,0.9733126163482666,0.0
98,2025-02-20 23:23:54.541793,2.41692852973938,2.8489935398101807,0.0,0.0,0.0,32.1170136987383,62.1455188272722,32.1170136987401,55.6175948263576,0,0,0,0.0,2.41692852973938,1.0,0.8489935398101807,0.0
99,2025-02-20 23:24:43.558965,2.363210439682007,2.924121856689453,0.0,0.0,0.0,32.142083806255,62.0918011182014,32.1420838062566,55.5042843679037,0,0,0,0.0,2.363210439682007,1.0,0.7241218090057373,0.0
100,2025-02-20 23:25:30.458729,2.309492349624634,2.997102737426758,0.0,0.0,0.0,32.167179751555,62.0380835244391,32.1671797515566,55.3727478232086,0,0,0,0.0,2.309492349624634,1.0,0.5971027612686157,0.0
101,2025-02-20 23:26:19.625274,2.25577449798584,3.0703399181365967,0.0,0.0,0.0,32.1923160155616,61.9843659536626,32.1923160155632,55.2650003351605,0,0,0,0.0,2.25577449798584,1.0,0.47033995389938354,1.0
102,2025-02-20 23:27:07.380582,2.202056407928467,3.143831253051758,0.0,0.0,0.0,32.2174848833164,61.9306481525818,32.217484883318,55.1574586526343,0,0,0,0.0,2.202056407928467,1.0,0.34383127093315125,1.0
103,2025-02-20 23:27:57.962542,2.1483383178710938,3.2175748348236084,0.0,0.0,0.0,32.2426855917538,61.8769306603948,32.2426855917554,55.0499477514696,0,0,0,0.0,2.1483383178710938,1.0,0.21757471561431885,1.0
104,2025-02-20 23:29:38.298784,2.0555851459503174,3.400184392929077,0.0,0.0,0.0,32.2931831858626,61.7694953666338,32.2931831858641,54.8350268739853,0,0,0,0.0,2.0555851459503174,1.0,0.00018432887736707926,1.0
105,2025-02-20 23:30:27.709413,2.0409021377563477,3.4000000953674316,0.0,0.0,0.0,32.3115669246916,61.7304606244538,32.3115669246931,54.7569617472505,0,0,0,0.0,2.0409021377563477,1.0,0.0,1.0
106,2025-02-20 23:31:17.475542,1.9871840476989746,3.4000000953674316,0.0,0.0,0.0,32.3184865052902,61.7157778991848,32.3184865052897,20.2780461329147,0,0,0,0.0,1.9871840476989746,1.0,0.0,1.0
107,2025-02-20 23:32:09.017671,1.9334660768508911,3.4000000953674316,0.0,0.0,0.0,32.3438136695769,61.6620601925629,32.3438136695764,20.285697340022,0,0,0,0.0,1.9334660768508911,1.0,0.0,1.0
108,2025-02-20 23:33:00.490847,1.879747986793518,3.4000000953674316,0.0,0.0,0.0,32.3691720704652,61.6083426101344,32.3691720704648,20.2620858866964,0,0,0,0.0,1.879747986793518,1.0,0.0,1.0
109,2025-02-20 23:33:48.972620,1.822912573814392,3.4000000953674316,0.0,0.0,0.0,32.0857927069845,61.3205941376623,32.0857927069839,16.9066496438173,0,0,0,0.0,1.822912573814392,1.0,0.0,1.0
110,2025-02-20 23:34:37.540394,1.7660771608352661,3.4000000953674316,0.0,0.0,0.0,32.1073648949472,61.2637591319889,32.1073648949465,16.8797956436254,0,0,0,0.0,1.7660771608352661,1.0,0.0,1.0
111,2025-02-20 23:35:27.992533,1.7092417478561401,3.4000000953674316,0.0,0.0,0.0,32.1289779951165,61.2069243278447,32.1289779951157,16.8529873776213,0,0,0,0.0,1.7092417478561401,1.0,0.0,1.0
112,2025-02-20 23:36:18.296621,1.6524063348770142,3.4000000953674316,0.0,0.0,0.0,32.1506313497371,61.1500894037466,32.1506313497364,16.8261388008556,0,0,0,0.0,1.6524063348770142,1.0,0.0,1.0
113,2025-02-20 23:37:07.885766,1.5955709218978882,3.4000000953674316,0.0,0.0,0.0,32.1723250413933,61.0932543849937,32.1723250413925,16.8025902278789,0,0,0,0.0,1.5955709218978882,1.0,0.0,1.0
114,2025-02-20 23:37:56.810109,1.5387355089187622,3.4000000953674316,0.0,0.0,0.0,31.8533047343552,61.0364191988692,31.8533047343545,16.7765424276216,0,0,0,0.0,1.5387355089187622,1.0,0.0,1.0
115,2025-02-20 23:38:48.113500,1.4819000959396362,3.4000000953674316,0.0,0.0,0.0,31.8670865007778,60.9795841552094,31.8670865007771,16.7505164489624,0,0,0,1.0,1.4819000959396362,1.0,0.0,1.0
116,2025-02-20 23:39:40.726865,1.5275745391845703,3.4000000953674316,37.9405265556702,0.0,0.0,28.0335167637412,84.6292917497864,28.0335167637407,16.7245083363985,1,0,0,1.0,1.5275745391845703,1.0,0.0,1.0
117,2025-02-20 23:40:28.350388,1.5732113122940063,3.4000000953674316,37.9265384474475,0.0,0.0,28.035646637618,84.6578737381211,28.0356466376175,16.6985377161624,1,0,0,1.0,1.5732113122940063,1.0,0.0,1.0
