iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2_Scada_replay
13,2025-01-13 13:04:12.052344,7.725211569233574,8.173515851931446,59.00602187383508,59.55366145078079,59.006021795027564,59.55366157121619,59.00277038556369,0.0,0.0,0.0,0.0,26.357081270589333,1.0,40.279477033777766,1.0,1
14,2025-01-13 13:04:28.642793,7.736476234490642,8.094424874616278,59.02260874151889,59.468403892086094,59.02260867245885,59.46840400277496,59.02021459673175,0.0,0.0,0.0,0.0,23.097046500879514,1.0,37.019760968064475,1.0,1
15,2025-01-13 13:04:44.226446,7.7417350661968785,8.021339732682296,59.033155216307954,59.38932814314664,59.03315515671547,59.389328244367015,59.031476973055334,0.0,0.0,0.0,0.0,19.93063537611306,1.0,33.85303403661055,1.0,1
16,2025-01-13 13:05:00.104200,7.74118958565284,7.95405889819974,59.03783397803602,59.316256740249635,59.03783392759329,59.316256832319254,59.03673505508428,0.0,0.0,0.0,0.0,16.870512034188323,1.0,30.792574606834933,1.0,1
17,2025-01-13 13:05:15.219263,7.735072498258463,7.892349674994994,59.03683910728302,59.248988178285245,59.036839065623056,59.248988261570986,59.03618860845532,0.0,0.0,0.0,0.0,13.933124498635152,1.0,27.854819113031226,1.0,1
18,2025-01-13 13:05:29.351225,7.723657702555439,7.835938170041633,59.03039554643624,59.18728978169182,59.0303955131271,59.18728985662554,59.03006939560973,0.0,0.0,0.0,0.0,11.140202587398562,1.0,25.061497373144448,1.0,1
19,2025-01-13 13:05:44.502024,7.707274825892148,7.784494734501934,59.01876919389482,59.13088767343466,59.018769168416696,59.13088774053611,59.0186516442357,0.0,0.0,0.0,0.0,8.521127911649273,1.0,22.442002587581555,1.0,1
20,2025-01-13 13:05:59.910199,7.686330679093537,7.737612577859269,59.00227996112749,59.07945221188641,59.00227994283887,59.079452271796946,59.00226527795214,0.0,0.0,0.0,0.0,6.116607663670948,1.0,20.0370071809175,1.0,1
21,2025-01-13 13:06:14.647944,7.661342281560497,7.694774657063923,58.981306808429196,59.03257659510517,58.98130679651476,59.03257664863993,58.981317438326634,0.0,0.0,0.0,0.0,3.984770555121031,1.0,17.904636967500664,1.0,1
22,2025-01-13 13:06:30.821284,7.632991751939195,7.655298888596767,58.956252978234936,58.98974372679724,58.95625297161911,58.98974377503159,58.95632555352613,0.0,0.0,0.0,0.0,2.212657544760077,1.0,16.13192131685537,1.0,1
23,2025-01-13 13:06:46.769889,7.602115051752369,7.618349287175186,58.92782121845499,58.950271522193866,58.92782121581959,58.95027156644574,58.92797215907146,0.0,0.0,0.0,0.0,0.881404875485714,1.0,14.799987779952062,1.0,1
24,2025-01-13 13:07:02.788412,7.569617130481796,7.58302091343916,58.89687880292586,58.91332410192835,58.89687880284337,58.9133241436244,58.897093511134585,0.0,0.0,0.0,0.0,0.027591074172050867,1.0,13.945194688176343,1.0,1
25,2025-01-13 13:07:17.726102,7.5267879500796955,7.542351028396197,58.86410774683014,58.877988232198625,58.86410775116868,58.8779882790818,58.864581214841124,0.0,0.0,0.0,0.0,-1.45101873386011,1.0,15.68002222825271,1.0,1
26,2025-01-13 13:07:32.133163,7.4846031872709435,7.501036725834778,58.82131820808174,58.837317382025994,58.821318211407785,58.83731742992509,58.82175302883433,0.0,0.0,0.0,0.0,-1.1123928402412275,1.0,16.01979545625909,1.0,1
27,2025-01-13 13:07:48.210302,7.442667277585144,7.459473570476644,58.77914834324792,58.79600270330135,58.779148346181934,58.79600275159275,58.7795686465806,0.0,0.0,0.0,0.0,-0.981278016070064,1.0,16.15100299432015,1.0,1
28,2025-01-13 13:08:04.850400,7.400836217615864,7.417805557253467,58.7372186423296,58.75443938886834,58.73721864509844,58.75443943732505,58.737632896662866,0.0,0.0,0.0,0.0,-0.9260350242357163,1.0,16.20628654848133,1.0,1
29,2025-01-13 13:08:21.234673,7.359050700660638,7.376092013051117,58.69539026655484,58.7127713064661,58.695390269251924,58.7127713549946,58.69580190598507,0.0,0.0,0.0,0.0,-0.9020366132972413,1.0,16.2302994459651,1.0,1
30,2025-01-13 13:08:37.285267,7.3172852518825735,7.334358398700484,58.653605930671176,58.671057731755326,58.65360593333666,58.67105778031546,58.65401641954844,0.0,0.0,0.0,0.0,-0.8914672298487858,1.0,16.240880418649795,1.0,1
31,2025-01-13 13:08:52.888224,7.27552864862371,7.2926159464423845,58.611841001071184,58.62932410395853,58.61184100372272,58.6293241525326,58.61225098421041,0.0,0.0,0.0,0.0,-0.8868054595723152,1.0,16.245539291617206,1.0,1
32,2025-01-13 13:09:08.034386,7.23377597085777,7.250869561553065,58.570084628266876,58.587581645717734,58.57008463091223,58.58758169429801,58.57049438691649,0.0,0.0,0.0,0.0,-0.8847338835948904,1.0,16.24761376490369,1.0,1
33,2025-01-13 13:09:22.537475,7.19202504048372,7.209121427424138,58.528332053090324,58.54583525816741,58.528332055732925,58.54583530675042,58.52874171180587,0.0,0.0,0.0,0.0,-0.883815436623081,1.0,16.2485322118755,1.0,1
34,2025-01-13 13:09:37.600307,7.150274889220424,7.167372521242932,58.486581168456155,58.50408712286401,58.486581171097534,58.50408717144825,58.48699078261576,0.0,0.0,0.0,0.0,-0.8834040187366554,1.0,16.248940732452866,1.0,1
35,2025-01-13 13:09:53.494296,7.108525082679658,7.125623272742727,58.44483103742593,58.46233821616207,58.44483104006676,58.46233826474684,58.44524063187632,0.0,0.0,0.0,0.0,-0.8832214882659173,1.0,16.249120365614544,1.0,1
36,2025-01-13 13:10:07.958510,7.066775432189903,7.083873864002107,58.40308124003951,58.4205889674181,58.40308124268009,58.42058901600313,58.40349082557269,0.0,0.0,0.0,0.0,-0.8831374663031966,1.0,16.249207284886324,1.0,1
37,2025-01-13 13:10:23.415314,7.041817836930796,7.053022903713529,58.36167034334254,58.37885426425581,58.361670340471676,58.378854301372854,58.361762221634216,0.0,0.0,0.0,0.0,0.9601566330275091,1.0,12.413752449447202,1.0,1
38,2025-01-13 13:10:39.379916,7.015041428093388,7.02399076532382,58.33665184656197,58.348005388975054,58.33665184655217,58.3480054232248,58.336802788232625,0.0,0.0,0.0,0.0,0.00327685654610832,1.0,11.45478661044308,1.0,1
39,2025-01-13 13:10:54.010917,6.98745979252166,6.9957638535222015,58.30984420560107,58.318974139142604,58.30984420685745,58.31897417212294,58.31002553055487,0.0,0.0,0.0,0.0,-0.4201967328754108,1.0,11.030235222051488,1.0,1
40,2025-01-13 13:11:10.360625,6.959632059747516,6.967783044058449,58.282252511408736,58.29074749466497,58.282252513052725,58.29074752725735,58.28244363128685,0.0,0.0,0.0,0.0,-0.5498310321172539,1.0,10.900482133138212,1.0,1
41,2025-01-13 13:11:25.038130,6.931744747896367,6.939861806226973,58.25442230754339,58.26276674960999,58.25442230928122,58.26276678210845,58.25461583437269,0.0,0.0,0.0,0.0,-0.5812146838479748,1.0,10.869072405625957,1.0,1
42,2025-01-13 13:11:40.048285,6.903844181927258,6.911953831674019,58.22653444441641,58.2348455261058,58.226534446175116,58.23484555858335,58.226728508239844,0.0,0.0,0.0,0.0,-0.5881971986809731,1.0,10.862078301556721,1.0,1
43,2025-01-13 13:11:54.236994,6.875940698526696,6.884048769119894,58.198633756601495,58.20693755469429,58.1986337583648,58.206937587167246,58.19882793912295,0.0,0.0,0.0,0.0,-0.5897327724824208,1.0,10.860542727755274,1.0,1
