iteration,timestamp,T3,T2,T4,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,V2,PU4,PU5,PU6,PU7
10,2025-02-15 22:07:53.805498,3.401665687561035,0.64303621121905,2.712038516998291,103.903920203209,25.4163542285125,89.4516314406365,25.4772810685051,84.7619357962575,28.489578189153,27.5895770707466,33.8488661443397,0.0,0.0,48.9876529402521,1,1,0,0,1
11,2025-02-15 22:09:22.037837,3.401665687561035,0.66154783870425,2.733344078063965,103.750184760401,25.4306937188129,89.4832507017589,25.4915672654783,84.7813365359578,28.5025936694466,27.602592552695,33.8383897633558,0.0,0.0,48.9849466845073,1,1,0,0,1
12,2025-02-15 22:10:46.681067,3.444275379180908,0.679935740473501,2.7546417713165283,103.597102024622,25.4449692168984,89.5148324352438,25.5057893914454,84.8006945267201,28.5155516063821,27.6155504912782,33.8278917351159,0.0,0.0,48.9822287885095,1,1,0,0,1
13,2025-02-15 22:12:14.100272,3.4889702796936035,0.700753000554352,2.8044397830963135,104.981229654584,25.57174944202,90.3850522560467,25.6314275260319,86.6161857982589,28.6357851936961,27.7357840636937,33.3733249371495,0.0,0.0,48.0745767896894,1,1,0,0,1
14,2025-02-15 22:13:38.892258,3.533643960952759,0.721458096787526,2.8542020320892334,104.831449890014,25.5884074162877,90.418513838149,25.6480478800469,86.6559591559048,28.651039959675,27.7510388312848,33.3629700821712,0.0,0.0,48.061953228156,1,1,0,0,1
15,2025-02-15 22:15:04.850542,3.5782968997955322,0.742051613337028,2.903928756713867,104.682280177144,25.6050074016135,90.4519397835849,25.6646101857687,86.6956965678453,28.6662429438133,27.7662418170287,33.3525959027456,0.0,0.0,48.0493096913746,1,1,0,0,1
16,2025-02-15 22:16:30.284550,3.6229286193847656,0.762534079616399,2.9536197185516357,104.533690737725,25.6215370320821,90.4853250540399,25.6811020226444,86.7353464137621,28.6813809562282,27.781379831043,33.3421997019325,0.0,0.0,48.0366701776543,1,1,0,0,1
17,2025-02-15 22:17:54.018407,3.667539119720459,0.782906049075648,3.003274917602539,104.385696863289,25.6379980115658,90.518670318661,25.6975251683503,86.7749993882097,28.6964550387542,27.796453915162,33.3317820935592,0.0,0.0,48.023986162434,1,1,0,0,1
18,2025-02-15 22:19:18.386290,3.7121286392211914,0.803168094023898,3.0528945922851562,104.238296944203,25.6543908949685,90.5519757640916,25.7138801171599,86.8145778524072,28.7114666503668,27.8114655283612,33.3213432821897,0.0,0.0,48.011300241537,1,1,0,0,1
19,2025-02-15 22:20:44.674125,3.756696939468384,0.823320762491315,3.1520259380340576,104.091499028641,25.6707151422598,90.585241151891,25.7301663450798,86.8541028496668,28.7264148188562,27.8264136984307,33.31088305897,0.0,0.0,47.9986006475997,1,1,0,0,1
20,2025-02-15 22:22:10.428092,3.801244020462036,0.84336463221972,3.1520259380340576,103.945286215435,25.6869723274025,90.6184670930282,25.7463854517353,86.8936043449706,28.7413010884609,27.8412999696092,33.3004019955039,0.0,0.0,47.9858718547655,1,1,0,0,1
21,2025-02-15 22:23:37.745360,3.8457696437835693,0.863300245102161,3.201537609100342,103.799667357578,25.7031611392248,90.6516530277997,25.7625360927029,86.933042191992,28.7561241992417,27.8561230819574,33.2898996052985,0.0,0.0,47.9731350383577,1,1,0,0,1
22,2025-02-15 22:25:03.586904,3.8902740478515625,0.883128164110282,3.2510135173797607,103.654641650252,25.719282785164,90.684799427486,25.778619496253,86.9724408501642,28.7708853036158,27.8708841878926,33.2793763200882,0.0,0.0,47.9603774891313,1,1,0,0,1
23,2025-02-15 22:26:22.433121,3.9347572326660156,0.902848933632541,3.3004534244537354,103.510201850099,25.7353368044727,90.7179060703435,25.7946351963422,87.0117941898322,28.7855838224496,27.8855827082811,33.2688319696509,0.0,0.0,47.9476022758688,1,1,0,0,1
24,2025-02-15 22:27:50.305934,3.9792187213897705,0.922463123062453,3.3498570919036865,103.366346347485,25.7513244161987,90.7509734276926,25.8105844147355,87.0511037395727,28.800221174048,27.9002200614279,33.2582669935034,0.0,0.0,47.9348092102515,1,1,0,0,1
25,2025-02-15 22:29:15.511571,4.025552272796631,0.942716129522293,3.400827169418335,103.559947622614,25.8033619994088,91.5520908605089,25.860209149912,87.2126067708563,28.845707735348,27.945706620644,32.7910521529004,0.0,0.0,47.8734618428455,1,1,0,0,1
26,2025-02-15 22:30:38.043392,4.071863174438477,0.962864879971896,3.4517600536346436,103.417861108966,25.8198793049772,91.586173912201,25.8766867274453,87.2530959855386,28.8608771483164,27.9608760351418,32.7800053832133,0.0,0.0,47.8602824416972,1,1,0,0,1
27,2025-02-15 22:32:04.693860,4.118151664733887,0.98290989445838,3.5026559829711914,103.276340382052,25.8363392377759,91.6202202256714,25.893106851008,87.2935147696437,28.875994965376,27.9759938537247,32.7689400796056,0.0,0.0,47.8471014979337,1,1,0,0,1
28,2025-02-15 22:33:32.039935,4.164417743682861,1.00285171145314,3.553514242172241,103.135382222604,25.8527341137348,91.6542266043127,25.9094618570198,87.3339004626223,28.8910525772377,27.9910514671037,32.7578546609498,0.0,0.0,47.8338971770975,1,1,0,0,1
29,2025-02-15 22:34:54.052462,4.2106614112854,1.0226908574101,3.6043355464935303,102.994995483613,25.8690637088214,91.6881929410665,25.9257515152362,87.3742455128171,28.9060497150794,28.0060486064565,32.7467490297182,0.0,0.0,47.8206734635679,1,1,0,0,1
30,2025-02-15 22:36:15.707736,4.303081035614014,1.04242787516871,3.6551194190979004,102.855173726539,25.885328915263,91.7221195707681,25.9419767192607,87.4145502179795,28.9209874054798,28.0209862983619,32.7356235134897,0.0,0.0,47.8074306620516,1,1,0,0,1
31,2025-02-15 22:37:39.153139,4.303081035614014,1.06206328952199,3.7058660984039307,102.715922585105,25.9015291775359,91.7560062518387,25.9581368907955,87.4547866791509,28.9358651890876,28.0358640834686,32.7244778914887,0.0,0.0,47.7941837770177,1,1,0,0,1
32,2025-02-15 22:40:27.873278,4.3678717613220215,1.08943594616548,3.777012586593628,102.439117662442,25.9337370405926,91.823660547965,25.9902643725219,87.5351333036951,28.9654425689774,28.0654414663378,32.7021271135807,0.0,0.0,47.7676357960982,1,1,0,0,1
33,2025-02-15 22:41:52.803607,4.395405292510986,1.10104505950377,3.807239294052124,102.456782602758,25.9425414013362,91.8382447582759,25.999055822395,87.5520361500019,28.9742727258824,28.0742716230527,32.698478754851,0.0,0.0,47.7631646610033,1,1,0,0,1
34,2025-02-15 22:43:14.482703,4.441537857055664,1.12044280968547,3.8578760623931885,102.375640897776,25.9521293201653,91.8584052235297,26.0086197587743,87.5759752807545,28.9830870427958,28.0830859408395,32.6918087455837,0.0,0.0,47.755245433337,1,1,0,0,1
35,2025-02-15 22:44:36.357957,4.48764705657959,1.13974250498684,3.908475399017334,102.240314851514,25.9681745050845,91.8921759234853,26.0246247293908,87.6160753059432,28.9978412597331,28.0978401592335,32.6806226635863,0.0,0.0,47.7419670288019,1,1,0,0,1
36,2025-02-15 22:46:00.022365,4.533734321594238,1.1589445848266,3.9590370655059814,102.105477329502,25.9841591711414,91.9259084194953,26.040569109961,87.6561227490787,29.0125394503538,28.1125383513056,32.6694166711136,0.0,0.0,47.7286764331649,1,1,0,0,1
37,2025-02-15 22:47:19.220200,4.58194637298584,1.17998905575383,4.0276031494140625,102.908076798286,26.0902980096631,92.8596220669677,26.1450069121638,89.1081259102385,29.108646264846,28.2086451571586,32.1418843439404,0.0,0.0,46.976030765169,1,1,0,0,1
38,2025-02-15 22:48:41.079581,4.630135536193848,1.20094516995531,4.096114635467529,102.777485493647,26.1081716320422,92.8950177356879,26.1628492023604,89.1603282573444,29.1251992625899,28.2251981563082,32.1306095530057,0.0,0.0,46.9565943788625,1,1,0,0,1
39,2025-02-15 22:50:06.529194,4.678301811218262,1.22181344289109,4.1645708084106445,102.647446293844,26.1259966721067,92.930379473305,26.1806428529174,89.2124677467873,29.1417090725827,28.2417079677007,32.1193185040563,0.0,0.0,46.9371468204613,1,1,0,0,1
40,2025-02-15 22:51:31.036622,4.726445198059082,1.24259436099927,4.232972145080566,102.517936663986,26.1437659113261,92.9657043003184,26.1983806349278,89.2645434468337,29.1581676856498,28.2581665821619,32.1080107178019,0.0,0.0,46.917690909441,1,1,0,0,1
41,2025-02-15 22:52:55.633341,4.774566173553467,1.26328843032127,4.301319122314453,102.388954189621,26.1614805282525,93.0009926760407,26.2160637457813,89.3165769540004,29.1745762383524,28.2745751362529,32.0966866373153,0.0,0.0,46.8982150722797,1,1,0,0,1
42,2025-02-15 22:54:20.268156,4.8226637840271,1.28389613802234,4.369610786437988,102.260497261113,26.1791398701426,93.0362443174668,26.2336915024072,89.3685315002984,29.1909342604154,28.2909331596985,32.0853460048825,0.0,0.0,46.878739731011,1,1,0,0,1
43,2025-02-15 22:55:46.395375,4.8707380294799805,1.30441798162492,4.437847137451172,102.132565878463,26.1967449296082,93.071459616378,26.2512649413325,89.4204601318399,29.207242313261,28.3072412139211,32.0739891878508,0.0,0.0,46.8592353858533,1,1,0,0,1
44,2025-02-15 22:57:16.100608,4.918789386749268,1.3248544382313,4.50602912902832,102.005162456123,26.2142949347723,93.1066382313399,26.2687832513342,89.4723150206661,29.2234999024266,28.3234988044582,32.0626158891909,0.0,0.0,46.839728664297,1,1,0,0,1
45,2025-02-15 22:58:37.072741,4.968471050262451,1.37538060392794,4.442162036895752,89.9855093851727,28.451189406549,94.0790130988745,28.5458243040382,69.627988255331,31.0362901512646,30.1362891826739,32.8669791777708,0.0,0.0,0.0,1,1,0,0,0
46,2025-02-15 23:00:01.148029,5.01814079284668,1.42571114984933,4.378295421600342,89.7587037525511,28.4852410837755,94.1220959851093,28.5798457776384,69.564153047434,31.0688127603473,30.1688117941979,32.8613151478217,0.0,0.0,0.0,1,1,0,0,0
47,2025-02-15 23:01:25.251062,5.117445468902588,1.47584661209874,4.314428806304932,89.5324711500223,28.5192206321162,94.1651417293993,28.6137950030186,69.5002843627566,31.101271341171,30.2012703774567,32.8556274937937,0.0,0.0,0.0,1,1,0,0,0
48,2025-02-15 23:02:46.859873,5.117445468902588,1.52578778496845,4.2505621910095215,89.30714155278,28.5531261805925,94.2081495373428,28.6476701063404,69.4364171474223,31.1336644923255,30.2336635310367,32.8499160758745,0.0,0.0,0.0,1,1,0,0,0
49,2025-02-15 23:04:13.946299,5.168086528778076,1.57614831105521,4.190919399261475,89.5299931167983,28.6408523893736,94.6944224716777,28.734061700813,69.6555859190382,31.2202952230892,30.3202942594016,32.5987087389909,0.0,0.0,0.0,1,1,0,0,0
50,2025-02-15 23:05:43.683600,5.218715667724609,1.62632467110083,4.131276607513428,89.316103196154,28.6757469610649,94.7383322403331,28.7689260486119,69.5959470392723,31.2537502831478,30.3537493217625,32.5930011831078,0.0,0.0,0.0,1,1,0,0,0
51,2025-02-15 23:07:12.199494,5.269333362579346,1.67631770820722,4.071633815765381,89.103129157877,28.7106003281412,94.782217691778,28.8037491328361,69.5363032717263,31.2871742629176,30.3871733038247,32.5872812288519,0.0,0.0,0.0,1,1,0,0,0
52,2025-02-15 23:08:33.514298,5.3200225830078125,1.72747366352097,4.011991024017334,90.4531027456414,28.8586426062008,94.8744749029367,28.9519784214656,69.4766625066801,31.4443166080015,30.5443156343777,32.622590510542,0.0,0.0,0.0,1,1,0,0,0
53,2025-02-15 23:10:00.295665,5.304612159729004,1.79728362623417,3.952348470687866,78.9184118026185,30.9241514894825,76.8375604107135,30.9241514894797,69.4170268980761,33.2614325477894,32.3614316983233,0.0,0.0,0.0,0.0,1,0,0,0,0
,,5.289201259613037,,3.8927059173583984,,,,,,,,,,,,,,,,
